<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.01	01:00:00	2743.95	2747.65	2743.71	2747.11	1365	0	25
2024.11.01	01:15:00	2747.11	2747.36	2744.99	2745.89	849	0	25
2024.11.01	01:30:00	2745.87	2746.43	2745.73	2746.34	979	0	25
2024.11.01	01:45:00	2746.32	2746.35	2745.56	2746.12	661	0	25
2024.11.01	02:00:00	2746.12	2746.89	2745.44	2746.39	1063	0	25
2024.11.01	02:15:00	2746.39	2747.02	2745.93	2747.01	862	0	25
2024.11.01	02:30:00	2747.03	2747.88	2746.84	2747.73	1237	0	25
2024.11.01	02:45:00	2747.72	2747.76	2745.98	2746.63	1391	0	25
2024.11.01	03:00:00	2746.63	2747.21	2745.77	2746.80	1875	0	25
2024.11.01	03:15:00	2746.81	2747.07	2745.72	2746.51	1563	0	25
2024.11.01	03:30:00	2746.51	2746.67	2745.35	2746.42	1397	0	25
2024.11.01	03:45:00	2746.43	2746.88	2744.84	2744.98	2722	0	25
2024.11.01	04:00:00	2744.99	2747.72	2744.85	2747.05	5619	0	25
2024.11.01	04:15:00	2747.07	2747.74	2745.50	2746.84	5345	0	25
2024.11.01	04:30:00	2746.83	2748.02	2745.38	2746.71	5067	0	25
2024.11.01	04:45:00	2746.70	2749.93	2746.67	2749.70	5290	0	25
2024.11.01	05:00:00	2749.69	2750.89	2746.51	2746.94	5902	0	25
2024.11.01	05:15:00	2746.94	2748.34	2746.61	2748.09	2859	0	25
2024.11.01	05:30:00	2748.08	2749.65	2745.80	2748.59	5258	0	25
2024.11.01	05:45:00	2748.59	2749.01	2746.30	2748.63	4418	0	25
2024.11.01	06:00:00	2748.64	2749.13	2747.39	2748.82	4015	0	25
2024.11.01	06:15:00	2748.82	2750.08	2748.28	2749.92	3429	0	25
2024.11.01	06:30:00	2749.93	2751.08	2749.00	2749.71	2765	0	25
2024.11.01	06:45:00	2749.70	2751.85	2749.27	2751.71	3160	0	25
2024.11.01	07:00:00	2751.70	2751.98	2751.07	2751.35	1631	0	25
2024.11.01	07:15:00	2751.35	2751.74	2750.74	2751.65	1372	0	25
2024.11.01	07:30:00	2751.65	2752.39	2751.19	2752.15	1344	0	25
2024.11.01	07:45:00	2752.14	2752.90	2751.40	2752.17	1703	0	25
2024.11.01	08:00:00	2752.19	2752.96	2752.13	2752.46	2624	0	25
2024.11.01	08:15:00	2752.49	2752.99	2751.60	2752.04	2984	0	25
2024.11.01	08:30:00	2752.05	2754.07	2751.80	2753.06	5493	0	25
2024.11.01	08:45:00	2753.03	2755.14	2752.75	2754.89	5061	0	25
2024.11.01	09:00:00	2754.89	2757.61	2754.69	2756.61	6101	0	25
2024.11.01	09:15:00	2756.63	2756.64	2752.53	2752.86	5674	0	25
2024.11.01	09:30:00	2752.84	2754.18	2751.28	2751.73	4910	0	25
2024.11.01	09:45:00	2751.73	2753.59	2751.71	2752.00	4219	0	25
2024.11.01	10:00:00	2752.00	2753.05	2749.92	2750.31	3649	0	25
2024.11.01	10:15:00	2750.31	2751.94	2749.80	2750.13	3445	0	25
2024.11.01	10:30:00	2750.11	2750.56	2747.08	2747.25	4667	0	25
2024.11.01	10:45:00	2747.25	2749.69	2747.20	2749.65	4517	0	25
2024.11.01	11:00:00	2749.65	2752.77	2748.49	2752.41	5569	0	25
2024.11.01	11:15:00	2752.40	2754.38	2751.53	2754.06	4889	0	25
2024.11.01	11:30:00	2754.04	2754.99	2751.82	2754.58	5616	0	25
2024.11.01	11:45:00	2754.58	2754.66	2751.37	2753.28	4739	0	25
2024.11.01	12:00:00	2753.27	2755.10	2752.33	2755.00	4939	0	25
2024.11.01	12:15:00	2755.00	2755.38	2752.19	2753.06	4172	0	25
